"unique_number","plot_no","treatment","plot_rep","matrix_no","species_code","species","sample_period","status","standing.height","height.mm","total.branch.length","biomass.g","stemdiam.mm","maxSpineLength.mm","postclipStemNo","date.clipped","date.measured","date.germinated","Age.of.plant","treatdate","Etreatdate","genus","MAR","rainclass"
1,"h1_1","1 month",1,"a1","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
2,"h1_1","1 month",1,"a2","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
3,"h1_1","1 month",1,"a3","comher","Combretum_hereroense","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
4,"h1_1","1 month",1,"a4","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
6,"h1_1","1 month",1,"a6","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
7,"h1_1","1 month",1,"b1","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
8,"h1_1","1 month",1,"b2","comcol","Combretum_collinum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",521,"low"
9,"h1_1","1 month",1,"b3","colmop","Colophospermum_mopane","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","06/09/2016",190,77,60,"Colophospermum",478.5,"low"
11,"h1_1","1 month",1,"b5","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
13,"h1_1","1 month",1,"c1","comher","Combretum_hereroense","4 months post",1,"",90,90,NA,NA,NA,1,"","15-Mar-17","10/09/2016",186,73,60,"Combretum",608.5,"med"
14,"h1_1","1 month",1,"c2","commol","Combretum_molle","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Combretum",850,"high"
15,"h1_1","1 month",1,"c3","vacsie","Vachellia_sieberiana","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","17/09/2016",179,66,60,"Vachellia",984,"high"
16,"h1_1","1 month",1,"c4","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
17,"h1_1","1 month",1,"c5","comapi","Combretum_apiculatum","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Combretum",618,"med"
18,"h1_1","1 month",1,"c6","vaceri","Vachellia_erioloba","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",424,"low"
19,"h1_1","1 month",1,"d1","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
20,"h1_1","1 month",1,"d2","vackar","Vachellia_karroo(rbay)","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","16/09/2016",180,67,60,"Vachellia",693,"med"
21,"h1_1","1 month",1,"d3","vacdav","Vachellia_davyi","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","12/09/2016",184,71,60,"Vachellia",891,"high"
22,"h1_1","1 month",1,"d4","vacexu","Vachellia_exuvialis","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","11/09/2016",185,72,60,"Vachellia",631,"med"
24,"h1_1","1 month",1,"d6","sennig","Senegalia_nigrescens","4 months post",0,"",NA,NA,NA,NA,NA,NA,"","15-Mar-17","08/09/2016",188,75,60,"Senegalia",673.5,"med"
