"","Age.of.plant","species_code","pred_SD_mm","pred_SD_up","pred_SD_low","treatdate","pred_surv","pred_surv_low","pred_surv_high","species_code","Bite.probability","max_bite_diam_duiker_mm","duiker_sd","max_bite_diameter_kudu_mm","kudu_sd","mean_bite_diam_duiker_mm","duiker_mean_sd","mean_bite_diameter_kudu_mm","kudu_mean_sd","test","medianBiteTip","q95BiteTip","maxBiteTip","genus","rainclass"
"3",10,"vaceri",1.24429257904938,1.44012832474755,1.07508754301376,10,0.00191638479937678,-0.00160465843712609,0.00543742803587965,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.1",11,"vaceri",1.25486763554043,1.45057456064207,1.0855648688819,11,0.00205223748470108,-0.00167959105791859,0.00578406602732075,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.2",12,"vaceri",1.26553256785463,1.46109817823331,1.09614309576191,12,0.00219769957289619,-0.00175706326427233,0.00615246241006471,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.3",13,"vaceri",1.27628813983317,1.47169980425682,1.10682315181892,13,0.00235344766343705,-0.0018370563557196,0.0065439516825937,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.4",14,"vaceri",1.28713512180899,1.48238007261199,1.11760597191182,14,0.00252020553873257,-0.00191953599820516,0.0069599470756703,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.5",15,"vaceri",1.29807429066198,1.49313962453259,1.12849249754862,15,0.00269874738742596,-0.00200445008475262,0.00740194485960455,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.6",16,"vaceri",1.30910642987462,1.50397910876477,1.1394836768355,16,0.00288990123802068,-0.00209172637136203,0.00787152884740339,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.7",17,"vaceri",1.32023232958809,1.51489918175275,1.15058046441936,17,0.00309455261508459,-0.00218126986740457,0.00837037509757376,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.8",18,"vaceri",1.33145278665886,1.52590050783287,1.16178382142317,18,0.00331364843077274,-0.00227295995808717,0.00890025681963266,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
"3.9",19,"vaceri",1.34276860471576,1.53698375943623,1.17309471537401,19,0.00354820112487701,-0.00236664723475523,0.00946304948450924,"vaceri",0.57380952,2.59,0.29,4.06,0.27,1.11,0.13,1.44,0.22,"er",1.09,1.654,1.95,"Vachellia","low"
